,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue,num_http2_responses,num_http3_responses
0,2021-11-15T15:59:51+00:00,https://www.whatsapp.com/,3g,560,560,560,560,437,454,434,490,808,816,776,863,690,697,660,741,2051,2050,2005,2094,801,809,770,856,packetLoss,0.45%,3,0.8,0.64,2604.852,0.38,4479.852,0.97,2604.852,1,0,1,0.0137546658,60,3
0,2021-11-15T16:08:00+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1153,1357,1113,1804,4738,4936,4380,5690,1524,1926,1475,2780,9324,9239,8233,10159,4679,4897,4372,5641,packetLoss,0.45%,3,0.13,0.02,7057.757,0,15194.211,0.01,15142.31089,0,12214.12,0.82,0.1311366442,198,105
0,2021-11-15T16:03:40+00:00,https://www.forbes.com/,3g,1983,1987,1979,1999,55,53,45,58,4387,4408,4119,4719,291,291,261,320,9963,10018,9795,10295,4366,4384,4092,4695,packetLoss,0.45%,3,0.44,0.75,2291.875,0.81,2901.895,0.07,10895.03232,0.01,4360.5,1,0.01824951172,516,12
0,2021-11-15T15:56:50+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,615,660,540,824,4341,4408,4013,4869,927,971,847,1139,4420,4709,4386,5320,4333,4402,4010,4864,packetLoss,0.45%,3,0.52,0.81,2115.771,0.75,3129.774,0.61,5180.248468,0.09,1878.4605,1,0.0009662272135,232,140
0,2021-11-15T17:28:09+00:00,https://www.whatsapp.com/,3g,560,560,560,560,428,442,421,477,930,1009,828,1268,723,747,708,810,2066,2092,2045,2164,923,1001,821,1260,packetLoss,1.20%,3,0.8,0.64,2610.525,0.38,4492.7875,0.97,2610.525,1,0,1,0.0137546658,59,4
0,2021-11-15T17:35:48+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1220,1221,1115,1329,5271,5254,4768,5722,1708,1683,1549,1791,9480,9408,9122,9622,5219,5203,4720,5671,packetLoss,1.20%,3,0.15,0.27,3818.131,0,13263.317,0.02,14141.1085,0,12082.5,0.79,0.1394287109,181,122
0,2021-11-15T17:31:47+00:00,https://www.forbes.com/,3g,1834,1885,1834,1987,56,60,56,69,520,2625,515,6840,258,263,255,275,900,6296,885,17102,519,2617,515,6818,packetLoss,1.20%,3,0.42,0.75,2281.427,0.75,3115.117,0.03,12508.59357,0.01,3983.5,1,0.006669022136,229,14
0,2021-11-15T17:25:17+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,681,739,628,907,4128,4266,4021,4650,978,1048,931,1234,4704,4563,4242,4742,4124,4263,4017,4647,packetLoss,1.20%,3,0.51,0.78,2195.351,0.73,3205.016,0.57,5359.071603,0.08,1996.5,1,0.0009662272135,218,160
0,2021-11-15T15:41:42+00:00,https://www.whatsapp.com/,3g,560,560,560,560,500,501,471,531,809,822,783,875,705,716,674,770,2042,2052,2012,2103,802,815,776,868,packetLoss,0.30%,3,0.84,0.64,2606.79,0.53,3906.958,0.97,2606.79,1,0,1,0.0137546658,60,3
0,2021-11-15T15:49:40+00:00,https://www.glassdoor.com/,3g,1144,1143,1142,1144,1212,1358,1140,1721,4779,5056,4583,5806,1932,2018,1499,2622,9361,9656,9188,10420,4731,5005,4531,5753,packetLoss,0.30%,3,0.16,0.29,3736.666,0,11733.4325,0.02,13825.17088,0,14739,0.82,0.1311366442,196,106
